
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
1.672005,0.0137,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
1.673106,0.0000,0.1329,1.0007,30.32599167,78.00722500,0.00000000,
1.711964,0.0000,0.1270,1.0007,30.32599167,78.00722500,0.00000000,
1.713531,-0.0137,0.1250,1.0007,30.32599167,78.00722500,0.00000000,
1.751090,-0.0312,0.1192,1.0007,30.32599167,78.00722500,0.00000000,
1.752561,-0.0488,0.1153,1.0007,30.32599167,78.00722500,0.00000000,
1.792019,-0.0684,0.1094,1.0007,30.32599167,78.00722500,0.00000000,
1.793838,-0.0899,0.1074,1.0007,30.32599167,78.00722500,0.00000000,
1.831359,-0.1133,0.1074,1.0007,30.32599167,78.00722500,0.00000000,
1.833205,-0.1231,0.1055,1.0007,30.32599167,78.00722500,0.00000000,
1.872951,-0.1309,0.1055,1.0007,30.32599167,78.00722500,0.00000000,
1.875248,-0.1367,0.1036,1.0007,30.32599167,78.00722500,0.00000000,
1.910653,-0.1446,0.1036,1.0007,30.32599167,78.00722500,0.00000000,
1.912612,-0.1504,0.1016,1.0007,30.32598000,78.00722000,0.00000000,
1.950470,-0.1524,0.1016,1.0007,30.32598000,78.00722000,0.00000000,
1.952425,-0.1583,0.1016,1.0007,30.32598000,78.00722000,0.00000000,
1.991510,-0.1641,0.1016,1.0007,30.32598000,78.00722000,0.00000000,
1.993460,-0.1661,0.0996,1.0007,30.32598000,78.00722000,0.00000000,
2.030808,-0.1602,0.0957,1.0007,30.32598000,78.00722000,0.00000000,
2.032959,-0.1504,0.0782,1.0007,30.32598000,78.00722000,0.00000000,
2.072974,-0.1231,0.0605,1.0007,30.32598000,78.00722000,0.00000000,
2.074754,-0.0918,0.0449,1.0007,30.32598000,78.00722000,0.00000000,
2.110172,-0.0624,0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.112662,-0.0370,0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.150213,-0.0156,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.151721,0.0000,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.190610,0.0000,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.192558,-0.0137,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.230080,-0.0351,0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.231365,-0.0566,0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.270045,-0.0782,0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.271686,-0.0996,0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.309902,-0.1211,0.0391,1.0007,30.32598000,78.00722000,0.00000000,
2.311502,-0.1309,0.0391,1.0007,30.32598000,78.00722000,0.00000000,
2.349277,-0.1329,0.0391,1.0007,30.32598000,78.00722000,0.00000000,
2.350718,-0.1329,0.0391,1.0007,30.32598000,78.00722000,0.00000000,
2.389423,-0.1329,0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.390808,-0.1329,0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.429851,-0.1329,0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.431141,-0.1309,0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.469657,-0.1290,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.471609,-0.1329,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.509831,-0.1407,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.511777,-0.1504,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.548841,-0.1641,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.550543,-0.1837,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.589668,-0.2149,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.591551,-0.2462,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.629419,-0.2755,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.631827,-0.2970,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.669070,-0.3127,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.670530,-0.3205,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.708881,-0.3165,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.710587,-0.3029,0.0000,1.0007,30.32598000,78.00722000,0.00000000,
2.750268,-0.2814,-0.0116,1.0007,30.32598000,78.00722000,0.00000000,
2.752654,-0.2618,-0.0254,1.0007,30.32598000,78.00722000,0.00000000,
2.789195,-0.2482,-0.0391,1.0007,30.32598000,78.00722000,0.00000000,
2.791291,-0.2384,-0.0508,1.0007,30.32598000,78.00722000,0.00000000,
2.828842,-0.2326,-0.0645,1.0007,30.32598000,78.00722000,0.00000000,
2.830996,-0.2364,-0.0645,1.0007,30.32598000,78.00722000,0.00000000,
2.874997,-0.2520,-0.0508,1.0007,30.32598000,78.00722000,0.00000000,
2.876411,-0.2716,-0.0391,0.9869,30.32596667,78.00721500,0.00000000,
2.902066,-0.2932,-0.0254,0.9713,30.32596667,78.00721500,0.00000000,
2.903895,-0.3107,-0.0116,0.9577,30.32596667,78.00721500,0.00000000,
2.928143,-0.3322,0.0000,0.9420,30.32596667,78.00721500,0.00000000,
2.929661,-0.3517,0.0000,0.9264,30.32596667,78.00721500,0.00000000,
2.967853,-0.3713,-0.0116,0.9049,30.32596667,78.00721500,0.00000000,
2.969508,-0.3908,-0.0273,0.8951,30.32596667,78.00721500,0.00000000,
3.008806,-0.4045,-0.0449,0.8834,30.32596667,78.00721500,0.00000000,
3.011060,-0.4162,-0.0624,0.8756,30.32596667,78.00721500,0.00000000,
3.049164,-0.4260,-0.0762,0.8756,30.32596667,78.00721500,0.00000000,
3.051121,-0.4260,-0.0918,0.8912,30.32596667,78.00721500,0.00000000,
3.088270,-0.4202,-0.0918,0.9128,30.32596667,78.00721500,0.00000000,
3.090227,-0.4123,-0.0918,0.9361,30.32596667,78.00721500,0.00000000,
3.129931,-0.4026,-0.0879,0.9636,30.32596667,78.00721500,0.00000000,
3.132256,-0.3967,-0.0703,0.9850,30.32596667,78.00721500,0.00000000,
3.167576,-0.3908,-0.0566,1.0007,30.32596667,78.00721500,0.00000000,
3.170286,-0.3948,-0.0410,1.0007,30.32596667,78.00721500,0.00000000,
3.207825,-0.4065,-0.0273,1.0007,30.32596667,78.00721500,0.00000000,
3.209442,-0.4260,-0.0116,0.9811,30.32596667,78.00721500,0.00000000,
3.248204,-0.4476,0.0000,0.9577,30.32596667,78.00721500,0.00000000,
3.250174,-0.4710,0.0000,0.9303,30.32596667,78.00721500,0.00000000,
3.288367,-0.4924,0.0000,0.8990,30.32596667,78.00721500,0.00000000,
3.290473,-0.5101,0.0000,0.8639,30.32596667,78.00721500,0.00000000,
3.328185,-0.5277,0.0116,0.8287,30.32596667,78.00721500,0.00000000,
3.330243,-0.5394,0.0273,0.8131,30.32596667,78.00721500,0.00000000,
3.367503,-0.5472,0.0449,0.7994,30.32596667,78.00721500,0.00000000,
3.369339,-0.5550,0.0624,0.7915,30.32596667,78.00721500,0.00000000,
3.407194,-0.5667,0.0801,0.7817,30.32596667,78.00721500,0.00000000,
3.409262,-0.5804,0.0957,0.7700,30.32596667,78.00721500,0.00000000,
3.447267,-0.5961,0.0996,0.7583,30.32596667,78.00721500,0.00000000,
3.449351,-0.6137,0.0996,0.7544,30.32596667,78.00721500,0.00000000,
3.487535,-0.6273,0.0938,0.7524,30.32596667,78.00721500,0.00000000,
3.489549,-0.6410,0.0918,0.7465,30.32596667,78.00721500,0.00000000,
3.526956,-0.6449,0.0918,0.7446,30.32596667,78.00721500,0.00000000,
3.528743,-0.6469,0.0957,0.7524,30.32596667,78.00721500,0.00000000,
3.567086,-0.6391,0.1016,0.7681,30.32596667,78.00721500,0.00000000,
3.569021,-0.6235,0.1094,0.7896,30.32596667,78.00721500,0.00000000,
3.606779,-0.6078,0.1192,0.8150,30.32596667,78.00721500,0.00000000,
3.608490,-0.5921,0.1329,0.8326,30.32596667,78.00721500,0.00000000,
3.648272,-0.5785,0.1485,0.8521,30.32596667,78.00721500,0.00000000,
3.650160,-0.5648,0.1641,0.8697,30.32596667,78.00721500,0.00000000,
3.686472,-0.5569,0.1856,0.8795,30.32596667,78.00721500,0.00000000,
3.690235,-0.5511,0.2091,0.8736,30.32596667,78.00721500,0.00000000,
3.726412,-0.5472,0.2403,0.8541,30.32596667,78.00721500,0.00000000,
3.728366,-0.5374,0.2736,0.8345,30.32596667,78.00721500,0.00000000,
3.766554,-0.5238,0.3107,0.8111,30.32596667,78.00721500,0.00000000,
3.768609,-0.5042,0.3498,0.7857,30.32596667,78.00721500,0.00000000,
3.807471,-0.4807,0.3811,0.7524,30.32596667,78.00721500,0.00000000,
3.809667,-0.4573,0.4143,0.7172,30.32596667,78.00721500,0.00000000,
3.846801,-0.4339,0.4456,0.6860,30.32596667,78.00721500,0.00000000,
3.849281,-0.4143,0.4710,0.6664,30.32596667,78.00721500,0.00000000,
3.885578,-0.3987,0.4924,0.6508,30.32596667,78.00721500,0.00000000,
3.887717,-0.3948,0.5101,0.6352,30.32596667,78.00721500,0.00000000,
3.926949,-0.3948,0.5257,0.6235,30.32596667,78.00721500,0.00000000,
3.928988,-0.3987,0.5433,0.6195,30.32596667,78.00721500,0.00000000,
3.966082,-0.4026,0.5590,0.6215,30.32596667,78.00721500,0.00000000,
3.968216,-0.4085,0.5765,0.6273,30.32596667,78.00721500,0.00000000,
4.005462,-0.4143,0.5921,0.6332,30.32596667,78.00721500,0.00000000,
4.007539,-0.4162,0.6078,0.6332,30.32596667,78.00721500,0.00000000,
4.044882,-0.4162,0.6235,0.6312,30.32596667,78.00721500,0.00000000,
4.046483,-0.4143,0.6352,0.6254,30.32596667,78.00721500,0.00000000,
4.085189,-0.4143,0.6410,0.6137,30.32596667,78.00721500,0.00000000,
4.087147,-0.4221,0.6391,0.5921,30.32596667,78.00721500,0.00000000,
4.124976,-0.4319,0.6391,0.5687,30.32596667,78.00721500,0.00000000,
4.126831,-0.4437,0.6371,0.5472,30.32596667,78.00721500,0.00000000,
4.164755,-0.4573,0.6371,0.5296,30.32596667,78.00721500,0.00000000,
4.166268,-0.4749,0.6352,0.5140,30.32596667,78.00721500,0.00000000,
4.204627,-0.4886,0.6352,0.4964,30.32596667,78.00721500,0.00000000,
4.206593,-0.5003,0.6332,0.4847,30.32596667,78.00721500,0.00000000,
4.244667,-0.5061,0.6332,0.4730,30.32596667,78.00721500,0.00000000,
4.246473,-0.5042,0.6371,0.4632,30.32596667,78.00721500,0.00000000,
4.284468,-0.4984,0.6371,0.4495,30.32596667,78.00721500,0.00000000,
4.286605,-0.4866,0.6410,0.4358,30.32596667,78.00721500,0.00000000,
4.324406,-0.4768,0.6469,0.4202,30.32596667,78.00721500,0.00000000,
4.326612,-0.4670,0.6508,0.4026,30.32596667,78.00721500,0.00000000,
4.364274,-0.4593,0.6566,0.3869,30.32596667,78.00721500,0.00000000,
4.366439,-0.4593,0.6586,0.3713,30.32596667,78.00721500,0.00000000,
4.405389,-0.4670,0.6645,0.3596,30.32596667,78.00721500,0.00000000,
4.408406,-0.4847,0.6645,0.3498,30.32596667,78.00721500,0.00000000,
4.444235,-0.5101,0.6586,0.3459,30.32596667,78.00721500,0.00000000,
4.445661,-0.5374,0.6547,0.3420,30.32596667,78.00721500,0.00000000,
4.484164,-0.5667,0.6508,0.3381,30.32596667,78.00721500,0.00000000,
4.485461,-0.5941,0.6469,0.3361,30.32596667,78.00721500,0.00000000,
4.524002,-0.6176,0.6410,0.3342,30.32596667,78.00721500,0.00000000,
4.526388,-0.6352,0.6391,0.3283,30.32596667,78.00721500,0.00000000,
4.563525,-0.6449,0.6391,0.3186,30.32596667,78.00721500,0.00000000,
4.565290,-0.6508,0.6371,0.3088,30.32596667,78.00721500,0.00000000,
4.603956,-0.6547,0.6371,0.3049,30.32596667,78.00721500,0.00000000,
4.606258,-0.6606,0.6352,0.3049,30.32596667,78.00721500,0.00000000,
4.644029,-0.6684,0.6352,0.3009,30.32596667,78.00721500,0.00000000,
4.645717,-0.6801,0.6332,0.2970,30.32596667,78.00721500,0.00000000,
4.683483,-0.6957,0.6332,0.2970,30.32596667,78.00721500,0.00000000,
4.685150,-0.7134,0.6332,0.2970,30.32596667,78.00721500,0.00000000,
4.723589,-0.7309,0.6332,0.2872,30.32596667,78.00721500,0.00000000,
4.725599,-0.7465,0.6352,0.2716,30.32596667,78.00721500,0.00000000,
4.763518,-0.7583,0.6391,0.2443,30.32596667,78.00721500,0.00000000,
4.765514,-0.7661,0.6430,0.2110,30.32596667,78.00721500,0.00000000,
4.803056,-0.7700,0.6489,0.1779,30.32596667,78.00721500,0.00000000,
4.805576,-0.7661,0.6547,0.1309,30.32596667,78.00721500,0.00000000,
4.842696,-0.7563,0.6606,0.0899,30.32596667,78.00721500,0.00000000,
4.844912,-0.7446,0.6684,0.0528,30.32596667,78.00721500,0.00000000,
4.882516,-0.7251,0.6743,0.0293,30.32596667,78.00721500,0.00000000,
4.884419,-0.7036,0.6841,0.0137,30.32596667,78.00721500,0.00000000,
4.922514,-0.6801,0.6880,0.0000,30.32596667,78.00721500,0.00000000,
4.924425,-0.6586,0.6978,0.0000,30.32596667,78.00721500,0.00000000,
4.963008,-0.6371,0.7095,0.0000,30.32596667,78.00721500,0.00000000,
4.965176,-0.6235,0.7134,0.0000,30.32596667,78.00721500,0.00000000,
5.002747,-0.6137,0.7192,0.0000,30.32596667,78.00721500,0.00000000,
5.004966,-0.6117,0.7172,0.0000,30.32596667,78.00721500,0.00000000,
5.042749,-0.6176,0.7172,0.0000,30.32596667,78.00721500,0.00000000,
5.044758,-0.6273,0.7134,0.0000,30.32596667,78.00721500,0.00000000,
5.083030,-0.6430,0.7036,0.0000,30.32596667,78.00721500,0.00000000,
5.084856,-0.6586,0.6938,0.0000,30.32596667,78.00721500,0.00000000,
5.122116,-0.6762,0.6841,0.0000,30.32596667,78.00721500,0.00000000,
5.123863,-0.6899,0.6782,0.0000,30.32596667,78.00721500,0.00000000,
5.162980,-0.7016,0.6723,0.0000,30.32596667,78.00721500,0.00000000,
5.164915,-0.7095,0.6684,0.0000,30.32596667,78.00721500,0.00000000,
5.202601,-0.7153,0.6684,0.0000,30.32596667,78.00721500,0.00000000,
5.204324,-0.7172,0.6684,0.0000,30.32596667,78.00721500,0.00000000,
5.242570,-0.7134,0.6723,0.0000,30.32596667,78.00721500,0.00000000,
5.244453,-0.7036,0.6782,0.0000,30.32596667,78.00721500,0.00000000,
5.283034,-0.6880,0.6841,0.0000,30.32596667,78.00721500,0.00000000,
5.285137,-0.6684,0.6918,0.0000,30.32596667,78.00721500,0.00000000,
5.322716,-0.6469,0.7016,0.0176,30.32596667,78.00721500,0.00000000,
5.324711,-0.6254,0.7134,0.0391,30.32596667,78.00721500,0.00000000,
5.362733,-0.6098,0.7192,0.0605,30.32596667,78.00721500,0.00000000,
5.365133,-0.5981,0.7290,0.0879,30.32596667,78.00721500,0.00000000,
5.402688,-0.5941,0.7329,0.1211,30.32596667,78.00721500,0.00000000,
5.405321,-0.5961,0.7368,0.1563,30.32596667,78.00721500,0.00000000,
5.441919,-0.6019,0.7368,0.1739,30.32596667,78.00721500,0.00000000,
5.444187,-0.6039,0.7329,0.1876,30.32596667,78.00721500,0.00000000,
5.483007,-0.6039,0.7290,0.1954,30.32596667,78.00721500,0.00000000,
5.485289,-0.5941,0.7211,0.1973,30.32596667,78.00721500,0.00000000,
5.522774,-0.5823,0.7153,0.1856,30.32596667,78.00721500,0.00000000,
5.525152,-0.5687,0.7095,0.1739,30.32596667,78.00721500,0.00000000,
5.562949,-0.5531,0.7095,0.1563,30.32596667,78.00721500,0.00000000,
5.566431,-0.5394,0.7074,0.1329,30.32596667,78.00721500,0.00000000,
5.601352,-0.5315,0.7134,0.1153,30.32596667,78.00721500,0.00000000,
5.602824,-0.5315,0.7192,0.0879,30.32596667,78.00721500,0.00000000,
5.640726,-0.5355,0.7290,0.0664,30.32596667,78.00721500,0.00000000,
5.642263,-0.5433,0.7368,0.0430,30.32596667,78.00721500,0.00000000,
5.681490,-0.5550,0.7427,0.0410,30.32596667,78.00721500,0.00000000,
5.683175,-0.5667,0.7465,0.0410,30.32596667,78.00721500,0.00000000,
5.721177,-0.5765,0.7465,0.0468,30.32596667,78.00721500,0.00000000,
5.722911,-0.5844,0.7465,0.0664,30.32596667,78.00721500,0.00000000,
5.762150,-0.5921,0.7407,0.0859,30.32596667,78.00721500,0.00000000,
5.764836,-0.5961,0.7329,0.1074,30.32596667,78.00721500,0.00000000,
5.801055,-0.6019,0.7232,0.1192,30.32596667,78.00721500,0.00000000,
5.803112,-0.6078,0.7134,0.1329,30.32596667,78.00721500,0.00000000,
5.840407,-0.6117,0.7095,0.1407,30.32596667,78.00721500,0.00000000,
5.842178,-0.6156,0.7036,0.1446,30.32596667,78.00721500,0.00000000,
5.880593,-0.6215,0.6978,0.1446,30.32596667,78.00721500,0.00000000,
5.882323,-0.6273,0.6978,0.1387,30.32596667,78.00721500,0.00000000,
5.920874,-0.6332,0.6978,0.1133,30.32596667,78.00721500,0.00000000,
5.922591,-0.6391,0.7016,0.0859,30.32596667,78.00721500,0.00000000,
5.961410,-0.6489,0.7016,0.0586,30.32596667,78.00721500,0.00000000,
5.963273,-0.6586,0.7016,0.0351,30.32596667,78.00721500,0.00000000,
6.001261,-0.6645,0.7016,0.0156,30.32596667,78.00721500,0.00000000,
6.003034,-0.6684,0.6997,0.0000,30.32596667,78.00721500,0.00000000,
6.039565,-0.6664,0.6997,-0.0116,30.32596667,78.00721500,0.00000000,
6.041344,-0.6645,0.6957,-0.0254,30.32596667,78.00721500,0.00000000,
6.079731,-0.6606,0.6918,-0.0391,30.32596667,78.00721500,0.00000000,
6.080909,-0.6528,0.6880,-0.0508,30.32596667,78.00721500,0.00000000,
6.119517,-0.6469,0.6820,-0.0508,30.32596667,78.00721500,0.00000000,
6.121119,-0.6391,0.6820,-0.0645,30.32596667,78.00721500,0.00000000,
6.159564,-0.6312,0.6820,-0.0684,30.32596667,78.00721500,0.00000000,
6.161532,-0.6254,0.6841,-0.0722,30.32596667,78.00721500,0.00000000,
6.200257,-0.6176,0.6899,-0.0820,30.32596667,78.00721500,0.00000000,
6.201899,-0.6098,0.6978,-0.0918,30.32596667,78.00721500,0.00000000,
6.240748,-0.6019,0.7074,-0.1172,30.32596667,78.00721500,0.00000000,
6.242303,-0.5941,0.7192,-0.1309,30.32596667,78.00721500,0.00000000,
6.279836,-0.5883,0.7290,-0.1407,30.32596667,78.00721500,0.00000000,
6.281979,-0.5844,0.7388,-0.1465,30.32596667,78.00721500,0.00000000,
6.319540,-0.5804,0.7486,-0.1504,30.32596667,78.00721500,0.00000000,
6.322130,-0.5785,0.7544,-0.1485,30.32596667,78.00721500,0.00000000,
6.359724,-0.5785,0.7583,-0.1427,30.32596667,78.00721500,0.00000000,
6.361963,-0.5785,0.7583,-0.1348,30.32596667,78.00721500,0.00000000,
6.398879,-0.5785,0.7524,-0.1231,30.32596667,78.00721500,0.00000000,
