
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
0.066336,0.0000,0.4183,0.8385,0.00000000,0.00000000,0.00000000,
0.068108,0.0000,0.4162,0.8385,30.28908500,78.00281167,0.00000000,
0.098600,0.0000,0.4162,0.8365,30.28908500,78.00281167,0.00000000,
0.100898,0.0000,0.4183,0.8345,30.28908500,78.00281167,0.00000000,
0.138481,0.0000,0.4183,0.8306,30.28908500,78.00281167,0.00000000,
0.140094,0.0000,0.4221,0.8287,30.28908500,78.00281167,0.00000000,
0.177958,0.0000,0.4280,0.8326,30.28908500,78.00281167,0.00000000,
0.180065,0.0000,0.4339,0.8345,30.28908500,78.00281167,0.00000000,
0.218604,0.0000,0.4378,0.8365,30.28908500,78.00281167,0.00000000,
0.220216,0.0000,0.4416,0.8365,30.28908500,78.00281167,0.00000000,
0.256669,0.0000,0.4476,0.8365,30.28908500,78.00281167,0.00000000,
0.258257,0.0000,0.4476,0.8365,30.28908500,78.00281167,0.00000000,
0.297120,0.0000,0.4534,0.8345,30.28908500,78.00281167,0.00000000,
0.298707,0.0000,0.4534,0.8306,30.28908500,78.00281167,0.00000000,
0.336062,0.0000,0.4534,0.8267,30.28908500,78.00281167,0.00000000,
0.337856,0.0000,0.4534,0.8248,30.28908500,78.00281167,0.00000000,
0.375473,0.0000,0.4534,0.8267,30.28908500,78.00281167,0.00000000,
0.376849,0.0000,0.4534,0.8287,30.28908500,78.00281167,0.00000000,
0.416186,0.0000,0.4476,0.8306,30.28908500,78.00281167,0.00000000,
0.417423,0.0000,0.4476,0.8306,30.28908500,78.00281167,0.00000000,
0.455782,0.0000,0.4416,0.8306,30.28908500,78.00281167,0.00000000,
0.457502,0.0000,0.4397,0.8345,30.28908500,78.00281167,0.00000000,
0.495695,0.0000,0.4339,0.8326,30.28908500,78.00281167,0.00000000,
0.497104,0.0000,0.4299,0.8287,30.28908500,78.00281167,0.00000000,
0.535370,0.0000,0.4299,0.8267,30.28908500,78.00281167,0.00000000,
0.537265,0.0000,0.4241,0.8248,30.28908500,78.00281167,0.00000000,
0.574835,0.0000,0.4241,0.8228,30.28908500,78.00281167,0.00000000,
0.576297,0.0000,0.4202,0.8208,30.28908500,78.00281167,0.00000000,
0.615370,0.0000,0.4202,0.8208,30.28908500,78.00281167,0.00000000,
0.616743,0.0000,0.4221,0.8189,30.28908500,78.00281167,0.00000000,
0.655281,0.0000,0.4221,0.8189,30.28908500,78.00281167,0.00000000,
0.656821,0.0000,0.4241,0.8189,30.28908500,78.00281167,0.00000000,
0.694901,0.0000,0.4183,0.8189,30.28908500,78.00281167,0.00000000,
0.696140,0.0000,0.4183,0.8189,30.28908500,78.00281167,0.00000000,
0.735624,0.0000,0.4183,0.8228,30.28908500,78.00281167,0.00000000,
0.737453,0.0000,0.4143,0.8306,30.28908500,78.00281167,0.00000000,
0.774823,0.0000,0.4085,0.8365,30.28908500,78.00281167,0.00000000,
0.776652,0.0000,0.4026,0.8443,30.28908500,78.00281167,0.00000000,
0.814795,0.0000,0.4026,0.8560,30.28908500,78.00281167,0.00000000,
0.816577,0.0000,0.4026,0.8658,30.28908500,78.00281167,0.00000000,
0.854229,0.0000,0.4026,0.8716,30.28908500,78.00281167,0.00000000,
0.856265,0.0000,0.4085,0.8756,30.28908500,78.00281167,0.00000000,
0.893741,0.0000,0.4183,0.8716,30.28908500,78.00281167,0.00000000,
0.894959,0.0000,0.4280,0.8639,30.28908500,78.00281000,0.01389750,
0.934193,0.0000,0.4378,0.8560,30.28908500,78.00281000,0.01389750,
0.935680,-0.0137,0.4476,0.8423,30.28908500,78.00281000,0.01389750,
0.974113,-0.0273,0.4514,0.8267,30.28908500,78.00281000,0.01389750,
