
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),Pico
0.073412,0.0000,0.0000,1.0007,0.00000000,0.00000000,0.00000000,
0.075457,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.077029,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.109189,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.110678,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.148414,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.149420,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.187914,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.189122,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.228193,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.229698,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.268385,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.270228,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.307265,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.308525,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.348271,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.349546,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.388782,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.389760,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.427812,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.429166,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.467275,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.468151,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.507779,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.509303,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.548509,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.550023,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.587732,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.589305,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.627984,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.629225,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.669600,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.671031,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.707463,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.708509,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.747838,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.749060,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.787969,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.789844,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.827274,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.828268,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.866969,0.0000,0.0000,1.0007,30.30221500,78.05753833,0.00000000,
0.867838,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.906753,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.908677,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.947835,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.949347,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.987324,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
0.988392,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.028022,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.029779,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.066770,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.068117,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.107471,0.0000,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.108878,-0.0116,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
1.147689,-0.0273,0.0000,1.0007,30.30221667,78.05753000,0.00000000,
