,std_z,Latitude,Longitude
1,0.6362168618300316,30.416208329999844,77.96945000000026
2,0.26038563516058544,30.416208329999844,77.96945000000026
132,0.2744002977549211,30.410429703333175,77.96863622999977
133,0.46251391171249256,30.410369451456962,77.96867489264876
134,0.2298685122965114,30.410324485733398,77.96870748573353
145,0.28719395970170464,30.40977263583327,77.96886347249988
179,0.7955490979273069,30.40775513916681,77.97005111416642
180,0.6098891793783341,30.4076973754152,77.97005964023228
181,0.32974871589981697,30.407650179108902,77.97006772518132
182,0.2812435192407096,30.40759599699996,77.9700762530004
188,0.25514991185238367,30.40712783255823,77.970177516512
190,0.21178228090310722,30.40694780110386,77.97020421939824
193,0.30454611678621085,30.40667235106317,77.9702036290028
194,0.31493768468680977,30.406581753056372,77.97017974196051
195,0.3534898802551031,30.40649940112567,77.97016442271473
196,0.23712057906671694,30.406415480799993,77.97014744746657
202,0.4352873778647174,30.4058988191001,77.97000804179986
205,0.4432850482529348,30.405633396225006,77.9699640809275
206,0.5165147130919537,30.405546749468343,77.96995101857124
210,0.4781844474834309,30.405206869033446,77.9698874642995
211,0.29758441462966656,30.405136193388675,77.96987105225963
212,0.42923174107707995,30.40507605538222,77.96986227883758
213,0.266859057311869,30.405027011523384,77.96985243158937
214,0.23305466995262383,30.404990074186138,77.96984374561463
215,0.5976279102404987,30.404954105880275,77.9698293266775
216,0.7147778138905762,30.40491550259975,77.96981261406624
217,0.36470871638095786,30.40487638647834,77.9697947313956
222,0.4459733189532057,30.40458732645693,77.96970124172212
224,0.20642001803456037,30.404443915496664,77.96967434596067
225,0.25704132650034744,30.40437857677747,77.96965445956825
226,0.23942995831387684,30.404317427674528,77.96962688239236
227,0.4310706105536257,30.404255242549464,77.9695974834434
228,0.4442187034378819,30.404186219033182,77.96956629999968
229,0.42823019014106317,30.40412087777409,77.96953689368786
230,0.6005516887368304,30.404056201860456,77.96951081092986
231,0.5778892359864547,30.40398708294706,77.96948473728531
232,0.43031242985833107,30.403921579999995,77.96946116650018
233,0.3096285319353139,30.40385412470195,77.96943553778115
234,0.5562626376397066,30.403780621966682,77.96941178863364
235,0.2202143003950447,30.40370324999998,77.96938768096662
236,0.2134497566783664,30.40362663036428,77.9693659328151
238,0.6598668472238005,30.40346730010007,77.96930771999959
239,0.5553351373709038,30.403398523489965,77.9692813424498
240,0.5103205712556943,30.403336044769713,77.96926448154615
242,0.27588929532804024,30.403213892790898,77.96924688019921
243,0.6439292161201983,30.40314864588035,77.96923593049857
259,0.22370709403932348,30.401855135833255,77.9688897191669
266,0.4446168039770635,30.401386285766456,77.96879531666704
274,0.2712274877957162,30.40098064311266,77.96878039754922
292,0.4016892719609796,30.40010526853819,77.96908680757478
303,0.2452517466867187,30.39950663089996,77.96929542243326
304,0.25626586966138715,30.399423590664526,77.9692934354149
305,0.33546159181503143,30.39934315953627,77.96928259662299
307,0.3379948797761748,30.399185586499964,77.96925574999999
308,0.29479147490576835,30.399110331357832,77.96923948917207
310,0.2300972216442663,30.39896206501656,77.96921612435217
318,0.25037024950100234,30.398368760993478,77.96914605933718
322,0.41141126519285415,30.398118801229387,77.96908586378774
323,0.24386070136318952,30.398053576777244,77.96907398910322
329,0.2951882457395083,30.39767376541541,77.96900779956793
330,0.5914782646932557,30.397625202425264,77.9689912184055
333,0.2261575527930688,30.397485494503332,77.96895867768185
346,0.7597086107968988,30.396414088803898,77.96878377318964
347,0.2503597651929591,30.396339079999876,77.96878333000028
